iter	RMSE
0	1028596.288
1	987874.0011
2	948542.4176
3	912087.677
4	879171.398
5	847508.83
6	818317.773
7	789778.7097
8	763298.6099
9	738315.3259
10	715635.2596
11	694918.8705
12	676339.0048
13	657505.7367
14	639557.1816
15	624021.3077
16	607935.6614
17	593252.0528
18	580463.4766
19	568816.2575
20	558042.7895
21	546914.4407
22	537552.9317
23	528236.0003
24	519390.477
25	511737.6184
26	503886.7689
27	496878.5489
28	490308.1087
29	484126.7414
30	478625.5214
31	473610.7996
32	468840.404
33	464643.152
34	460552.5028
35	456527.3621
36	452732.9941
37	449358.1212
38	446070.5082
39	442911.093
40	440235.387
41	437505.3151
42	435150.6886
43	432820.9532
44	430891.9492
45	428654.0242
46	426668.7031
47	424916.9272
48	423305.1298
49	421674.8477
50	419782.7134
51	418028.5731
52	416947.0624
53	415838.8545
54	414609.6195
55	413426.7487
56	412468.2211
57	411409.9677
58	410627.7959
59	409859.5533
60	409083.5957
61	408355.6852
62	407634.5341
63	406961.5641
64	406478.1852
65	405876.358
66	405291.807
67	404517.4871
68	403749.6881
69	402968.7987
70	402467.6413
71	401969.283
72	401637.9893
73	401201.9669
74	400851.1447
75	400557.8647
76	399694.578
77	399239.2811
78	398941.7751
79	398450.1383
80	398122.9536
81	397744.2181
82	397173.1863
83	396831.8594
84	396472.7369
85	396307.6745
86	395989.7396
87	395558.3138
88	395128.5314
89	394985.8609
90	394790.0072
91	394242.9242
92	393578.7702
93	393189.6556
94	392579.2945
95	392107.8166
96	391736.7924
97	391588.6594
98	391439.5551
99	390763.6896
100	390619.4378
101	390301.587
102	389629.0899
103	389417.5423
104	389242.9001
105	389116.2477
106	388983.3913
107	388462.9329
108	388301.4779
109	387927.1252
110	387724.9014
111	386937.3012
112	386615.2983
113	386118.3964
114	385701.3669
115	385562.3886
116	384823.2441
117	384662.8942
118	384121.534
119	384019.9574
120	383765.4188
121	383667.9619
122	382969.4855
123	382896.3313
124	382769.2227
125	382589.8844
126	382023.2562
127	381853.9273
128	381704.9499
129	381594.0853
130	381447.0957
131	381270.5607
132	381141.4633
133	380965.5668
134	380711.9159
135	380233.7912
136	380097.9175
137	380015.2462
138	379699.388
139	379515.0974
140	379499.1304
141	379176.4032
142	378755.4014
143	378629.198
144	378570.1823
