iter	Passed	Remaining
0	11	11165
1	20	10114
2	29	9878
3	38	9707
4	48	9579
5	57	9464
6	66	9375
7	74	9235
8	83	9185
9	92	9178
10	101	9128
11	110	9102
12	119	9048
13	128	9030
14	137	9006
15	146	8980
16	154	8946
17	163	8918
18	172	8898
19	180	8849
20	189	8850
21	198	8832
22	207	8819
23	216	8800
24	225	8781
25	233	8753
26	242	8742
27	250	8708
28	260	8711
29	268	8691
30	277	8685
31	286	8678
32	295	8669
33	304	8650
34	313	8637
35	322	8625
36	331	8616
37	339	8604
38	348	8583
39	357	8575
40	366	8564
41	375	8554
42	383	8536
43	392	8517
44	401	8512
45	410	8509
46	418	8489
47	426	8467
48	435	8459
49	444	8437
50	452	8424
51	461	8407
52	469	8395
53	478	8383
54	487	8375
55	496	8362
56	505	8354
57	513	8338
58	522	8333
59	531	8320
60	539	8301
61	547	8282
62	556	8272
63	564	8260
64	573	8244
65	581	8227
66	589	8214
67	598	8204
68	607	8193
69	615	8182
70	624	8169
71	632	8154
72	641	8141
73	649	8126
74	658	8116
75	666	8101
76	674	8088
77	683	8078
78	691	8064
79	700	8053
80	706	8013
81	711	7967
82	716	7918
83	721	7869
84	726	7822
85	731	7777
86	737	7737
87	742	7695
88	747	7653
89	752	7610
90	757	7569
91	763	7531
92	768	7493
93	773	7453
94	778	7414
95	783	7378
96	788	7340
97	793	7305
98	798	7271
99	804	7238
100	809	7202
101	814	7167
102	819	7135
103	824	7102
104	829	7068
105	834	7040
106	840	7010
107	845	6980
108	850	6950
109	855	6920
110	860	6892
111	866	6866
112	871	6841
113	877	6817
114	882	6793
115	888	6767
116	893	6742
117	898	6718
118	904	6692
119	909	6668
120	914	6642
121	919	6617
122	924	6592
123	929	6568
124	935	6548
125	940	6527
126	946	6507
127	951	6485
128	957	6464
129	962	6441
130	967	6415
131	970	6383
132	974	6350
133	977	6319
134	982	6294
135	987	6272
136	992	6253
137	997	6230
138	1002	6210
139	1007	6191
140	1012	6165
141	1017	6147
142	1022	6126
143	1026	6103
144	1032	6085
145	1037	6068
146	1043	6052
147	1048	6036
148	1054	6021
149	1059	6006
150	1065	5990
151	1070	5973
152	1076	5958
153	1081	5942
154	1087	5926
155	1093	5915
156	1098	5896
157	1103	5878
158	1107	5856
159	1112	5839
160	1117	5825
161	1123	5813
162	1128	5796
163	1134	5781
164	1139	5765
165	1144	5751
166	1150	5737
167	1155	5723
168	1161	5708
169	1166	5694
